,timestamp,question_1,question_2,question_3,question_4,question_5,is_relevant,object,is_positive
803,2024-04-08 14:45:00,Основы программирования,"Вебинар предоставил отличное введение в основы SQL, особенно хорошо были разобраны JOIN-операции и их применение.",Для меня оказалось сложным понимание внешних и внутренних соединений в SQL после вебинара.,"Было бы замечательно, если бы после вебинара предложили более подробные учебные ресурсы и примеры запросов для практики.",Оптимизация запросов SQL и анализ производительности баз данных станут для меня следующим шагом в обучении после вебинара.,1,0,1.0
804,2024-04-07 20:49:11,Продвинутые техники программирования,Я получил много ценных знаний о оптимизации SQL запросов на этом вебинаре.,"Мне кажется, что материал был представлен очень хорошо.",Я поддерживаю идею предоставления доступа к онлайн тренажеру.,Мне интересно узнать больше о влиянии индексов на производительность.,1,1,1.0
805,2024-04-01 02:48:33,Основы программирования,Базы данных SQL были подробно рассмотрены на лекции.,Все было понятно и ясно.,Улучшить графическую составляющую презентации.,Хочу углубить знания в области NoSQL.,1,0,1.0
806,2024-03-27 14:31:30,Продвинутые техники программирования,Печеньки и другие дистракции со стороны преподавателя отвлекли от основного материала.,"Преподаватель не сумел заинтересовать участников вебинара, поэтому они были слишком заняты чем-то другим.","Вместо добавления виртуального чая, следует сконцентрироваться на улучшении содержания и качества вебинара.","Принципы проектирования алгоритмов, рассмотренные на вебинаре, стали для меня очень интересными.",0,1,0.0
807,2024-04-19 15:53:48,ChatGPT для обучения,"Нет полезной информации о том, как использовать GPT чат для получения более развернутого ответа.","Разбор различий в использовании GPT чата был неполным и невразумительным, вебинар оставил желать лучшего.","Вебинар не предложил никаких практических советов по использованию GPT чата, что сделало его бесполезным.",Отсутствие рекомендаций по использованию GPT чата для более развернутого ответа делает вебинар бесполезным.,0,0,0.0
808,2024-04-22 19:04:00,Новейшие тенденции в IT,"Я не знаю, что меня больше раздражает - программа или преподаватель.","Я думаю, я бы понял программу, если бы понимал хоть что-то.",Я бы предложил закрыть эту программу и не мучить людей.,"Хотелось бы изучать что-то, что не заставит меня уснуть через первые пять минут.",0,1,0.0
809,2024-04-07 23:29:11,Новейшие тенденции в IT,Обсуждение воздействия облачных технологий на современные IT-структуры было особенно информативным.,"Да, различия между IaaS, PaaS и SaaS довольно важны для понимания.",В планах провести подробный вебинар для каждой облачной модели с основными аспектами и практическими примерами.,Вопросы безопасности данных в облаке и передовые практики.,1,2,1.0
810,2024-04-10 01:25:19,Продвинутые техники программирования,Объяснение принципов проектирования ПО было хорошим.,Трудности с примерами рефакторинга - это действительно вызов.,Мне нравится идея добавить рабочие листы для отработки материала.,Принципы проектирования интерфейсов были объяснены очень понятно и доступно.,1,1,1.0
811,2024-04-24 10:00:00,Основы программирования,Этот вебинар дал мне много новых идей для использования паттернов проектирования в .NET в моем проекте.,"Нет, примеры были представлены очень четко и понятно.","Может быть, добавить больше реальных кейсов использования паттернов проектирования в .NET.",Мне не нужны дополнительные темы для изучения. Всё было понятно и интересно.,1,0,1.0
812,2024-03-27 22:35:09,Основы программирования,"Я тоже чувствовал скуку, когда разбирали ошибки в коде.","Да, каждый раз, когда говорили об ошибках в коде.","Возможно, провести более увлекательные занятия на следующем вебинаре.",Подумать о возможности организации кинопоказа вместо следующего вебинара.,0,0,0.0
813,2024-04-23 23:18:02,Продвинутые техники программирования,Мне понравился доступный материал на вебинаре.,"Почему я должен учить Python, если я изучаю Frontend?",Почему бы не сосредоточиться на изучении JavaScript вместо Python?,Я бы предпочел изучать JavaScript вместо Python.,1,1,0.0
814,2024-04-22 19:02:00,Новейшие тенденции в IT,"На вебинаре ""Новейшие тенденции в IT"" наверняка рассказывали что-то интересное, но преподаватель Арбуз меня отвлекал.","Мне было скучно на вебинаре ""Новейшие тенденции в IT"", возможно, потому что преподаватель Арбуз не смог привлечь мое внимание к интересным моментам.","Возможно, что-то можно было бы улучшить на вебинаре ""Новейшие тенденции в IT"", но я не заметил, так как не интересовался преподавателем Арбузом.","На будущих вебинарах я хотел бы увидеть что-то более интересное и захватывающее, чем вебинар ""Новейшие тенденции в IT"", где преподаватель Арбуз меня не заинтересовал.",0,2,0.0
815,2024-04-11 04:05:41,Продвинутые техники программирования,Я получил много ценных знаний о Docker и Kubernetes на этом вебинаре.,Я тоже столкнулся с некоторыми сложностями при настройке Kubernetes.,Я поддерживаю идею проведения дополнительных сессий по Kubernetes.,Мне интересно узнать больше о микросервисной архитектуре после вебинара.,1,1,1.0
816,2024-04-09 09:57:10,Продвинутые техники программирования,"Мне понадобилось больше времени, чтобы разобраться в деталях атак XSS и CSRF.",Я нашел сессию по безопасности веб-приложений очень интересной и актуальной.,Идея проведения серии вебинаров по кибербезопасности кажется мне очень интересной.,"Продвинутые методы защиты данных и инфраструктуры - это то, что мне нужно для моей работы.",1,1,1.0
817,2024-03-30 10:07:42,Новейшие тенденции в IT,Обзор технологий блокчейна и их влияние на финансовую сферу оставили глубокое впечатление.,Сложность концепций смарт-контрактов требует более глубокого изучения.,"В планах провести отдельные вебинары, посвященные смарт-контрактам, с акцентом на практические аспекты их использования.",Изучение смарт-контрактов и их тестирование на различных блокчейн-платформах.,1,2,1.0
818,2024-04-09 19:00:00,Продвинутые техники программирования,"На сессии была затронута важная тема кибербезопасности, Программа  что позволит мне стать более компетентным разработчиком.","Сложности с пониманием криптографических методов возникли, но благодаря преподавателям я смог их преодолеть и лучше разобраться в этой теме.","Я считаю, что добавление примеров на кейсах из реальной жизни к сессии по безопасности приложений поможет студентам лучше понять тему и успешно применить полученные знания на практике.",Хотелось бы узнать больше о функциональном программировании для дальнейшего улучшения своих навыков программирования.,1,1,1.0
819,2024-04-15 18:17:36,Основы программирования,Мне понравилась доступность и понятность материалов.,Темы алгоритмов могли бы быть более детально рассмотрены.,Увеличение продолжительности вебинаров было бы полезным.,Хороший выбор темы для изучения - алгоритмы и структуры данных.,1,0,1.0
820,2024-04-17 14:31:51,Основы программирования,Лекция о SQL была очень интересной и познавательной.,Затруднений не возникло.,Добавить больше визуальных материалов для лучшего понимания.,Изучение NoSQL баз данных представляется интересным направлением.,1,0,1.0
821,2024-04-01 08:37:41,Новейшие тенденции в IT,"Меня заинтересовало, что на вебинаре обсуждался инструмент Colab, который активно используется аналитиками.","Да, такие моменты были.","Мне кажется, стоит больше времени уделить рассмотрению тем, связанных с Colab, чтобы понять его преимущества и использование.","Хотелось бы узнать больше о том, какие библиотеки можно использовать в Colab.",1,1,0.0
822,2024-04-14 11:59:09,Продвинутые техники программирования,Введение в микросервисы было очень полезным для понимания современных архитектурных концепций.,Раздел о контейнеризации был довольно сложным.,Проведение дополнительного вебинара по Docker и Kubernetes было бы великолепной идеей.,Подробности о развертывании приложений в облаке были очень полезными.,1,1,1.0
823,2024-04-05 08:51:56,Продвинутые техники программирования,Глубокий анализ модульного тестирования и TDD помог мне лучше понять процессы разработки.,"Да, использование моков и стабов в тестах оказалось очень полезным для меня.",Больше ресурсов для изучения инструментов мокирования после вебинара было бы очень полезно.,Изучение интеграционного тестирования и CI/CD пайплайнов на вебинаре помогло мне лучше понять процессы разработки.,1,1,1.0
824,2024-04-23 14:47:02,Основы программирования,"Объяснения понятий в Java были понятными и подробными, что помогло лучше усвоить материал.",Мне не понадобилось задавать дополнительные вопросы.,Дополнительные упражнения на практику после каждого раздела сделают вебинар еще эффективнее.,Хочу углубиться в изучение Java для Android-разработки.,1,0,1.0
825,2024-04-18 00:43:23,Продвинутые техники программирования,Я получил много ценных знаний о Docker и Kubernetes на этом вебинаре.,Я тоже столкнулся с некоторыми сложностями при настройке Kubernetes.,Проведение дополнительных сессий по Kubernetes - это отличная идея.,Вебинар вдохновил меня изучать микросервисную архитектуру более подробно.,1,1,1.0
826,2024-04-04 10:49:15,Основы программирования,Интересный разбор деталей JIT компиляции в Java.,"Да, я получил много полезной информации.",Я бы хотел получить больше материалов для самостоятельного изучения.,Мне было бы интересно узнать больше о механизмах управления памятью в современных языках.,1,0,1.0
827,2024-04-13 17:38:38,Основы программирования,Ясное объяснение базовых структур данных было очень полезным для меня.,Я не столкнулся с какими-либо сложностями при изучении базовых структур данных.,Добавление большего количества реальных примеров использования структур данных сделало бы вебинар ещё полезнее.,"Принципы проектирования алгоритмов, рассмотренные на вебинаре, помогли мне лучше понять эту тему.",1,0,1.0
828,2024-04-04 10:58:12,Новейшие тенденции в IT,Изучение последних тенденций в сфере информационных технологий.,"Да, для понимания темы искусственного интеллекта необходимо провести более подробное исследование.",Для углубленного изучения сложных тем необходимо выделить больше времени.,Глубокое изучение нейронных сетей.,1,2,1.0
829,2024-04-04 05:29:09,Новейшие тенденции в IT,"Мне потребовалось больше времени, чтобы разобраться в деталях работы сетей блокчейн.",Разбор технической стороны блокчейн технологий на примерах успешных проектов был очень полезен.,Я поддерживаю идею более подробного изучения технической стороны блокчейн технологий на примерах успешных проектов.,Подробности о создании смарт-контрактов на базе Ethereum были бы интересны для изучения.,1,2,1.0
830,2024-04-21 20:32:00,Основы программирования,"Преподаватель не умеет объяснять, занятие было бесполезным","Преподаватель говорил слишком быстро, ничего не успевал понять","Больше практики, меньше теории, чтобы лучше усвоить материал","Не понимаю, зачем я был на этом вебинаре, ничего полезного не узнал",0,2,0.0
831,2024-04-13 14:59:56,Основы программирования,Простота объяснений основ Python сделала вебинар очень понятным и доступным для меня.,"Нет, материал был представлен очень хорошо, и я ничего не добавил бы к нему.",Добавление больше материалов для самостоятельного изучения после вебинара сделало бы его еще полезнее.,Разбор работы с API в Python дал мне много новой информации и идей.,1,0,1.0
832,2024-04-24 02:54:28,Новейшие тенденции в IT,Дискуссия о будущем облачных вычислений и их влиянии на IT-индустрию была очень интересной и содержательной.,"Я пропустил обсуждение, поэтому не могу сказать ничего конкретного.","Добавление большего количества кейс-стади от компаний, успешно интегрировавших облачные решения, сделало бы вебинар еще более познавательным.",Стратегии миграции предприятий в облако.,1,2,1.0
833,2024-04-14 00:51:19,Продвинутые техники программирования,Очень интересный материал по объектно-ориентированному программированию.,Полностью с вами согласен.,Дополнительные Q&A сессии после вебинара помогли бы уяснить неясные моменты.,"Принципы SOLID подробно разобраны, это стало для меня открытием.",1,1,1.0
834,2024-04-14 22:43:50,Технологические инновации в IT,Применение ИИ в финансовом секторе обсуждалось очень информативно и интересно.,В ходе вебинара возникли некоторые вопросы по спецификациям алгоритмов машинного обучения.,Было бы полезно провести дополнительные практические занятия по настройке и применению ИИ в финансовом секторе.,"Этические вопросы, связанные с использованием ИИ в финансах, требуют особого внимания и обсуждения.",1,2,1.0
835,2024-04-23 14:00:00,Продвинутые техники программирования,"Впечатления от вебинара только положительные! Я получил(а) массу полезной информации, которую сразу же смог(ла) применить в своей работе.","Преподаватель идеально объяснял сложные темы, не оставляя шансов на недопонимание. Все было предельно понятно и доступно.","Хотя в целом программа вебинара была хорошей, я думаю, что стоит больше времени уделить практическим заданиям. Это поможет студентам лучше усвоить материал.",Мне бы хотелось узнать больше о новейших техниках программирования и разработки ПО на будущих вебинарах. Это поможет мне улучшить свои навыки и оставаться востребованным специалистом.,1,1,1.0
836,2024-04-21 23:05:23,Продвинутые техники программирования,Материал о машинном обучении был простым и информативным.,Материал был представлен очень понятно.,"Хотелось бы, чтобы больше времени было уделено вопросам безопасности.",Технологии блокчейн и их применение представляют интерес.,1,1,1.0
837,2024-04-08 14:45:00,Основы программирования,"Изучение основ SQL на вебинаре было очень полезным и понятным, особенно разбор JOIN-операций.",Сложности с пониманием внешних и внутренних соединений в SQL возникли у меня после вебинара.,Предложение более подробных учебных ресурсов и примеров запросов для практики после вебинара поможет мне лучше разобраться в теме.,Изучение оптимизации запросов SQL и анализа производительности баз данных после вебинара поможет мне применить полученные знания на практике.,1,0,1.0
838,2024-04-23 12:30:24,Продвинутые техники программирования,Очень полезным оказалось обширное покрытие темы REST API и их интеграции с современными веб-приложениями.,"Я считаю, что концепции OAuth 2.0 были одними из самых сложных аспектов вебинара.",Больше интерактивных примеров и подробных руководств по реализации API было бы очень полезно.,Я нашел подробности реализации микросервисов на Spring Boot и Docker очень интересными и полезными.,1,1,1.0
839,2024-04-21 20:32:00,Основы программирования,"Не смог разобраться в том, что преподаватель хотел донести","Материал был слишком сложным, преподаватель не смог сделать его понятным","Практические задачи были слишком сложными, не успел разобраться","Весь материал был бессмысленным и неинтересным, ничего не запомнилось",0,2,0.0
840,2024-04-10 22:05:55,Продвинутые техники программирования,Описание машинного обучения было полным и легким для понимания.,Материал был представлен очень понятно.,Было бы здорово уделить больше внимания безопасности при программировании.,Технологии блокчейн и их применение были интересными.,1,1,1.0
841,2024-03-27 14:00:28,Основы программирования,Я получил много полезной информации о JIT компиляции в Java.,Материал был понятен и информативен.,Я бы хотел получить больше материалов для самостоятельного изучения.,Углубленное изучение механизмов управления памятью было бы полезным.,1,0,1.0
842,2024-04-22 19:04:00,Новейшие тенденции в IT,"Что-то произошло, но я не заметил.","Я понял, что это не мое, когда начал понимать, что ничего не понимаю.","Нужно срочно изменить программу, иначе потеряем всех студентов.","Мне интересно, будет ли что-то более бессмысленное, чем эта программа.",0,1,0.0
843,2024-04-24 03:17:14,Продвинутые техники программирования,Изучение Docker и Kubernetes оказалось очень полезным для моей работы.,"Настройка Kubernetes могла быть сложной, согласен с вами.",Дополнительные сессии по Kubernetes будут очень полезны для понимания этой темы.,Мне интересно узнать больше о микросервисной архитектуре после вебинара.,1,1,1.0
844,2024-04-24 18:00:00,Новейшие тенденции в IT,"Увлекательное знакомство с применением VR в образовании, благодаря преподавателю, который смог заинтересовать и вдохновить на изучение этой темы.","Хотелось бы больше примеров и заданий по разработке контента для VR на занятии, чтобы лучше усвоить материал, который преподал преподаватель.","Предложение о практических занятиях по созданию VR-контента выглядит очень перспективным и полезным, такие занятия позволят студентам лучше разобраться в теме и применить знания на практике с поддержкой преподавателя.","Желаю углубиться в тему разработки приложений для виртуальной реальности на будущих вебинарах, это позволит лучше понять и применить полученные знания в практике с помощью преподавателя.",1,2,1.0
845,2024-04-26 20:22:00,Продвинутые техники программирования,Я получил много ценных знаний о оптимизации SQL запросов на этом вебинаре.,"Мне кажется, что материал был представлен очень хорошо.",Предоставление доступа к онлайн тренажеру поможет отточить навыки в практике.,Подробное понимание индексов и их влияния на производительность - это важная тема.,1,1,1.0
846,2024-04-02 14:32:37,Новейшие тенденции в IT,"Мне потребовалось больше времени, чтобы разобраться в деталях работы сетей блокчейн.","Мне понравилось, как подробно были разобраны технические аспекты блокчейн технологий.",Подробное изучение технической стороны блокчейн технологий на примерах успешных проектов звучит очень интересно.,Я бы хотел услышать больше о разработке смарт-контрактов на базе Ethereum.,1,2,1.0
847,2024-04-07 04:40:54,Новейшие тенденции в IT,Обсуждение последних технологических трендов в сфере IT.,"Да, для понимания темы искусственного интеллекта необходимо провести более подробное исследование.",Для углубленного изучения сложных тем необходимо выделить больше времени.,Глубокое изучение нейронных сетей.,1,2,1.0
848,2024-04-14 02:14:00,Управление персоналом,"Впечатляющее знакомство с основами программирования на Java, особенно понравился блок об исключениях.","Нет, всё прошло гладко и без проблем.",Добавление дополнительных практических заданий после каждого раздела поможет лучше освоить материал.,"Думаю, стоит уделить больше времени изучению многопоточности в Java.",1,0,1.0
849,2024-04-04 21:30:15,Основы программирования,Это воспоминание о Майнкрафте привело меня к слезам.,Херобрин добавил бы немного остроты в вебинар.,"Может быть, добавить Херобрина?",МАМААА,0,1,0.0
850,2024-04-03 02:13:35,Последние новости в IT,Интерактивная часть вебинара о применении ИИ в финансах была насыщенной и познавательной.,Спецификации алгоритмов машинного обучения требуют более детального изучения.,"Думаю, для лучшего понимания темы стоит добавить более практических занятий по настройке ИИ.",Очень важно уделять внимание этическим аспектам использования искусственного интеллекта в финансовой сфере.,1,2,1.0
851,2024-04-03 07:01:23,ChatGPT для обучения,Применение Промт-Инжиниринга улучшает способность задавать вопросы для искусственного интеллекта.,Минусов в обучающем материале не выявлено.,Обучение вызвало только положительные эмоции.,Применение Промт-Инжиниринга - ключевая часть вебинара.,1,0,1.0
852,2024-04-13 05:02:13,Новейшие тенденции в IT,Презентация о кибербезопасности была очень содержательной.,"Мне кажется, что материал был представлен очень хорошо.",Серия вебинаров по защите данных поможет углубить знания в этой области.,Мне бы хотелось узнать больше о новых технологиях в защите персональных данных.,1,1,1.0
853,2024-04-10 23:41:23,Продвинутые техники программирования,"Для меня особенно интересным было изучение сложных структур данных в Python, таких как графы и деревья.","Я согласен, работа с графами и алгоритмами была одной из самых интересных тем на вебинаре.",Устроить отдельные вебинары по каждому типу структуры данных - это замечательная идея.,Изучение алгоритмов поиска пути и оптимизации было для меня очень полезным.,1,1,1.0
854,2024-04-01 20:14:15,Новейшие тенденции в IT,Разговор о будущем облачных вычислений и их воздействии на ИТ-сектор был очень познавательным и интересным.,"К сожалению, у меня не было возможности участвовать в дискуссии.",Хотелось бы услышать больше практических примеров успешной интеграции облачных решений от компаний-лидеров.,Стратегии миграции предприятий в облако.,1,2,1.0
855,2024-04-19 17:45:00,новейшие тенденции,"Презентация новых технологий визуализации данных на вебинаре ""новейшие тенденции"" была очень понятной и доступной.",Некоторые аспекты презентации о новых технологиях визуализации данных были запутанными и требуют более ясного объяснения.,"Предложение провести дополнительные воркшопы по интерактивной визуализации данных на вебинаре ""новейшие тенденции"" кажется мне очень полезным.",На следующих вебинарах я хотел бы углубиться в тему интерактивной визуализации данных и изучить ее применение в моей сфере деятельности.,1,2,1.0
856,2024-04-22 19:04:00,Новейшие тенденции в IT,Что мне понравилось? Ничего. Вообще ничего.,"Моменты, когда я думал, что понял что-то, были самыми страшными.","Единственное, что может улучшить эту программу - удалить ее из существования.","Если следующий вебинар будет таким же бесполезным, я сойду с ума.",0,1,0.0
857,2024-04-19 11:29:09,Продвинутые техники программирования,"Я наслаждался изучением сложных структур данных в Python, таких как графы и деревья.","Я согласен, работа с графами и алгоритмами была одной из самых интересных тем на вебинаре.",Устроить отдельные вебинары по каждому типу структуры данных - это замечательная идея.,Глубокое изучение алгоритмов поиска пути и оптимизации помогло мне лучше понять их применение.,1,1,1.0
858,2024-04-01 05:02:14,Новейшие тенденции в IT,Я столкнулся с трудностями в понимании функционирования сетей блокчейн.,Разбор технической стороны блокчейн технологий на примерах успешных проектов был очень полезен.,Подробное изучение технической стороны блокчейн технологий на примерах успешных проектов звучит очень интересно.,Дополнительная информация о разработке на базе Ethereum была бы полезной для понимания процесса.,1,2,1.0
859,2024-03-28 07:20:21,Основы программирования,Базы данных SQL были подробно рассмотрены на лекции.,Нет.,Улучшить графическую составляющую презентации.,Изучение NoSQL баз данных представляется интересным направлением.,1,0,1.0
860,2024-04-15 13:17:13,Продвинутые техники программирования,Я нашел обширное покрытие темы REST API и их интеграции с веб-приложениями очень информативным.,"Да, концепции OAuth 2.0 были довольно сложными для меня.",Поддерживаю идею добавления большего количества интерактивных примеров и пошаговых руководств по реализации API.,Я нашел подробности реализации микросервисов на Spring Boot и Docker очень интересными и полезными.,1,1,1.0
861,2024-04-19 12:02:00,основы программирования,"Ильнар Шафигуллин профессионально владеет материалом и умеет преподнести его так, чтобы все стало понятно.","Ильнар Шафигуллин внимательно следил за пониманием материала каждым студентом, так что даже сложные моменты были легко усвоены.","Для еще более глубокого погружения в тему, было бы здорово провести дополнительные практические занятия.","Есть некоторые аспекты, которые я хотел бы более детально изучить в следующих занятиях.",1,2,1.0
862,2024-04-22 03:47:57,Знакомство с языком Python,"Особенно интересно было узнать о Colab, который широко используется среди аналитиков.","Да, не все темы были раскрыты.","Предлагаю обсудить более подробно темы, связанные с использованием Colab, чтобы лучше разобраться в его функциях и применении.","Интересно было бы изучить более детально библиотеки, доступные для использования в Colab.",1,1,0.0
863,2024-04-09 06:44:26,Основы программирования,"Объяснения понятий в Java были понятными и подробными, что помогло лучше усвоить материал.",Все было понятно и доступно.,Добавление большего количества практических упражнений после каждой темы поможет лучше закрепить материал.,Подробное изучение Java для Android будет полезным для моей деятельности.,1,0,1.0
864,2024-04-02 00:57:35,Продвинутые техники программирования,Очень интересный материал по объектно-ориентированному программированию.,Полностью с вами согласен.,Поддерживаю идею проведения дополнительных сессий для обсуждения материала.,Информация о принципах SOLID была очень полезной и актуальной.,1,1,1.0
865,2024-04-07 12:59:15,Основы программирования,Я также вспомнил Майнкрафт и чуть не расплакался.,Хотелось бы увидеть Херобрина.,Почему бы не добавить Херобрина для интереса?,МАМААА,0,1,0.0
866,2024-04-23 15:21:53,Знакомство с языком Python,"Отличное введение в программирование, особенно ценными были разъяснения функций и методов в Python.","Нет, всё прошло гладко и без проблем.","Думаю, стоит добавить больше интерактивных лабораторных работ для лучшего понимания материала.",Хотелось бы углубиться в изучение Python для научных вычислений.,1,0,1.0
867,2024-04-13 10:44:31,Основы программирования,Это воспоминание о Майнкрафте привело меня к слезам.,Добавление Херобрина сделало бы вебинар еще интереснее.,"Может быть, добавить Херобрина?",МАМААА,0,1,0.0
868,2024-04-19 16:00:00,новейшие тенденции,"Особенно понравилось то, как преподаватель структурировал материал и дал четкие примеры влияния больших данных на современный маркетинг.","Хотя некоторые аспекты обработки и анализа данных были сложными, преподаватель смог проиллюстрировать их на конкретных примерах, что помогло понять материал лучше.",Предложение организовать курсы по анализу данных для маркетологов является отличной идеей для дальнейшего углубленного изучения этой темы.,Интересно было бы углубиться в тему визуализации данных в маркетинге и ее практическое применение на будущих занятиях.,1,2,1.0
869,2024-04-17 05:55:09,Новейшие тенденции в IT,Дискуссия о последних тенденциях в мобильной разработке и их влиянии на индустрию была весьма интересной и познавательной.,Нет.,Включить в обсуждение больше примеров успешных мобильных приложений и рассмотреть их модели монетизации.,Разработка кроссплатформенных мобильных приложений.,1,2,1.0
